,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
238,"Oakwood Road, Sutton Coldfield, B73 5EG",560000,Semi-Detached,52.54846,-1.847612,4.0,2.0,
239,"Frederick Road, Sutton Coldfield, B73 5QW",560000,Semi-Detached,52.55023,-1.83493,4.0,1.0,
240,"St. Paul''s Chambers, 85 Caroline Street, St. Paul''s Square",560000,Apartment,52.48562,-1.90734,3.0,2.0,"1,345 sq. ft."
241,"Beaufort Drive, Birmingham",555000,Detached,52.4958,-1.81466,4.0,3.0,
242,"Philip Victor Road, Birmingham",555000,Link Detached House,52.51219,-1.92997,6.0,1.0,
243,"Fitz Roy Avenue, Harborne B17",550000,Detached Bungalow,52.46609,-1.97876,4.0,2.0,
244,"5 x SELF CONTAINED FLATS- Gillott Road, Birmingham, B16",550000,Block of Apartments,52.479695,-1.945074,,,
245,"High Heath Close, Bournville, Birmingham, B30",550000,Detached,52.421479,-1.944814,4.0,2.0,
246,"Monksfield Avenue, Birmingham",550000,Detached,52.54735,-1.94849,5.0,1.0,
247,"Western Road, Sutton",550000,Semi-Detached,52.546875,-1.834824,3.0,1.0,
248,"Walsall Road, Perry Barr, Birmingham",550000,Semi-Detached,52.523834,-1.902781,5.0,3.0,
249,Alumrock,550000,Detached,52.48683,-1.8306,4.0,7.0,"5,000 sq. ft."
250,"The Bank, Sheepcote Street, Birmingham B16",325000,Flat,52.4759,-1.9138u,2.0,2.0,
251,"Ellesboro Road, Harborne",550000,Semi-Detached,52.46681,-1.96227,3.0,1.0,"1,534 sq. ft."
252,"Moor End Lane, Erdington, Birmingham",550000,Semi-Detached,52.52437,-1.829102,5.0,1.0,
253,"Southam Road, Hall Green",550000,Semi-Detached,52.43714,-1.84947,4.0,2.0,
254,"Poppy Lane, Erdington, Birmingham",550000,House,52.528415,-1.819977,5.0,1.0,
255,"Pereira Road, Harborne",550000,Semi-Detached,52.464675,-1.952784,4.0,2.0,"1,431 sq. ft."
